"","(Intercept)","brlen.median","brlen.ratio","brlen.var","lambda","max.brlen","max.internal","max.tip","min.brlen","min.internal","min.tip","mu","Ntip","turnover","df","logLik","AICc","delta","weight"
"115",5.07175901937595,NA,9.66284607987621e-09,NA,NA,-0.000591750605008914,0.00060745873874139,0.000245649825113508,NA,NA,NA,NA,NA,NA,6,-14655.8988811714,29323.8061682269,6602.20659591863,0
"106",5.6254666112797,-0.00261405670696569,NA,NA,-7.78633386658742,NA,1.61168162924498e-05,0.000130840900337673,NA,NA,NA,NA,NA,NA,6,-14657.9176277388,29327.8436613617,6606.24408905349,0
"105",5.53393259280041,NA,NA,NA,-6.82020130817711,NA,1.59611084678365e-05,0.000127267112548906,NA,NA,NA,NA,NA,NA,5,-14659.6970258131,29329.4000552284,6607.80048292009,0
"2305",4.26506373322917,NA,NA,NA,NA,NA,NA,NA,NA,0.117411289454074,NA,NA,0.00238057184643153,NA,4,-14661.9836940935,29331.971390188,6610.37181787975,0
"90",5.62534752779068,-0.00247970635101638,NA,NA,-7.78933845025397,1.60398658891234e-05,NA,0.000127930962079236,NA,NA,NA,NA,NA,NA,6,-14662.6633724794,29337.3351508429,6615.73557853465,0
"89",5.53845271300671,NA,NA,NA,-6.87210196592418,1.58947562822194e-05,NA,0.000124561222756843,NA,NA,NA,NA,NA,NA,5,-14664.2642605256,29338.5345246533,6616.93495234502,0
"4497",5.46453939987717,NA,NA,NA,NA,2.21188658258497e-05,NA,NA,-1.91297217447187,0.433409385603288,NA,NA,NA,-0.0210944266606067,6,-14664.6538362658,29341.3160784157,6619.71650610747,0
"2049",4.3034129584869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00232051117175008,NA,3,-14668.8580378913,29343.7184767429,6622.11890443463,0
"4513",5.46500690920084,NA,NA,NA,NA,NA,2.20706421182379e-05,NA,-1.91146012593345,0.433512799289761,NA,NA,NA,-0.0210781216788917,6,-14668.6903307652,29349.3890674145,6627.78949510626,0
"355",5.14408791005367,NA,3.81989432021741e-09,NA,NA,NA,1.78773932619644e-05,0.000172012616411973,NA,-0.449409421065498,NA,NA,NA,NA,6,-14674.0759108597,29360.1602276035,6638.56065529524,0
