"","(Intercept)","age","brlen.median","brlen.ratio","brlen.var","frac","lambda","max.brlen","max.internal","max.tip","min.brlen","min.internal","min.tip","mu","Ntip","df","logLik","AICc","delta","weight"
"5889",6.61417111018767,NA,NA,NA,NA,NA,NA,NA,NA,0.00232949082297605,-0.695591374887755,0.16677650778368,NA,19.7232146179308,NA,6,-39625.6810299354,79263.3662613413,6852.31770578859,0
"589",7.00413082569334,NA,NA,3.28953625109785e-07,-2.8319585496191e-05,NA,NA,0.00325084706444307,NA,NA,-0.500728700506229,NA,NA,NA,NA,6,-39625.8149084455,79263.6340183615,6852.58546280878,0
"4612",6.68685336119382,0.000556045881318637,0.0038672986100303,NA,NA,NA,NA,NA,NA,NA,-0.463429221455898,NA,NA,18.4977205100337,NA,6,-39629.1307377452,79270.2656769609,6859.21712140822,0
"649",7.0405995708658,NA,NA,NA,-2.80050769188141e-05,NA,NA,NA,0.00338149458508551,NA,-0.482238833145599,NA,NA,NA,NA,5,-39631.9012862787,79273.8055734576,6862.75701790488,0
"1555",5.75006195434185,NA,0.0195682268319526,NA,NA,2.53978536976016,NA,NA,NA,NA,-0.72514863348619,0.154107986033965,NA,NA,NA,6,-39632.0962690308,79276.1967395322,6865.1481839795,0
"4371",5.13498556047965,NA,-0.00241003203818025,NA,NA,2.36306605502785,NA,NA,NA,0.00229890292704254,NA,NA,NA,21.5291135423569,NA,6,-39640.8731063501,79293.7504141707,6882.70185861803,0
"586",7.01416473073476,0.000174793331215741,NA,NA,-2.71644000008731e-05,NA,NA,0.0028244305604638,NA,NA,-0.500538227350994,NA,NA,NA,NA,6,-39642.0747834696,79296.1537684098,6885.1052128571,0
"4610",6.75565138578574,0.000594009754829273,NA,NA,NA,NA,NA,NA,NA,NA,-0.441332202414733,NA,NA,17.7726952189932,NA,5,-39643.2768723422,79296.5567455848,6885.50819003207,0
"4116",5.24005162315327,0.000443453899408749,0.00404705755124615,NA,NA,2.23541867326558,NA,NA,NA,NA,NA,NA,NA,20.7631515037321,NA,6,-39642.4487362456,79296.9016739617,6885.85311840904,0
"4377",5.08156686139455,NA,NA,NA,8.85900674144923e-07,2.40697909261362,NA,NA,NA,0.00207295485964456,NA,NA,NA,21.9216522956042,NA,6,-39643.5106893871,79299.0255802447,6887.97702469198,0
"4369",5.07320757652058,NA,NA,NA,NA,2.41235035837034,NA,NA,NA,0.00214118782738695,NA,NA,NA,21.9088661899795,NA,5,-39644.7059446801,79299.4148902605,6888.36633470777,0
"4122",5.38835595490509,0.000545520207287366,NA,NA,-2.67045486615695e-06,2.1063617638622,NA,NA,NA,NA,NA,NA,NA,19.6502379215219,NA,6,-39649.6153161293,79311.2348337292,6900.18627817651,0
